"lb_nom_abg","cd_poul","GS1","GS2","id","nom","prenom","numero_licence","ordre","libelle","distance_km","indemnite","couple","lb_catc","presence"
"8CHAU17M","A","PDL0049001 - CLUB 1 - ","PDL0049005 - CLUB 5 - ","ID 1","NOM 1","Prénom 1","LIC 1",1,"Marqueur","","","NON","U17","P"
"8CHAU17M","A","PDL0049001 - CLUB 1 - ","PDL0049005 - CLUB 5 - ","ID 2","NOM 2","Prénom 2","LIC 2",1,"Délégué de club","","","NON","U17","P"
"8CHAU17M","A","PDL0049001 - CLUB 1 - ","PDL0049005 - CLUB 5 - ","ID 3","NOM 3","Prénom 3","LIC 3",2,"Arbitre","","","NON","U17","P"
"8CHAU17M","A","PDL0049001 - CLUB 1 - ","PDL0049005 - CLUB 5 - ","ID 4","NOM 4","Prénom 4","LIC 4",1,"Arbitre","","","NON","U17","P"
"FCAF","A","PDL0049001 - CLUB 1 - 1","PDL0049075 - CLUB 75 - 1","ID 5","NOM 5","Prénom 5","LIC 5",NA,"Officiel de Table de Marque","(37,00Km)","25","NON","Seniors","P"
"FCAF","A","PDL0049001 - CLUB 1 - 1","PDL0049075 - CLUB 75 - 1","ID 6","NOM 6","Prénom 6","LIC 6",1,"Arbitre","(33,00Km)","55.08","NON","Seniors","P"
"FCAF","A","PDL0049001 - CLUB 1 - 1","PDL0049075 - CLUB 75 - 1","ID 7","NOM 7","Prénom 7","LIC 7",NA,"Officiel de Table de Marque","(38,00Km)","25","NON","Seniors","P"
"FCAF","A","PDL0049001 - CLUB 1 - 1","PDL0049075 - CLUB 75 - 1","ID 8","NOM 8","Prénom 8","LIC 8",2,"Arbitre","(41,00Km)","61.16","NON","Seniors","P"
"DMU15-4-P2","D4A","PDL0049001 - CLUB 1 - 2","PDL0049005 - CLUB 5 - 2","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U15",""
"FDF 3","A","PDL0049002 - CLUB 2 - 3","PDL0049096 - CLUB 96 - 2","ID 10","NOM 10","Prénom 10","LIC 10",3,"Arbitre","(6,00Km)","28.56","NON","Seniors","A"
"FDF 3","A","PDL0049002 - CLUB 2 - 3","PDL0049096 - CLUB 96 - 2","ID 11","NOM 11","Prénom 11","LIC 11",2,"Arbitre","(14,00Km)","34.64","NON","Seniors","P"
"FDF 3","A","PDL0049002 - CLUB 2 - 3","PDL0049096 - CLUB 96 - 2","ID 12","NOM 12","Prénom 12","LIC 12",1,"Arbitre","(6,00Km)","28.56","NON","Seniors","P"
"DFVE","A","PDL0049003 - CLUB 3 - ","PDL0049005 - CLUB 5 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","Vétérans",""
"1-4CHAU17M","A","PDL0049003 - CLUB 3 - ","PDL0049023 - CLUB 23 - 5","ID 13","NOM 13","Prénom 13","LIC 13",1,"Aide marqueur","","","NON","U17","P"
"1-4CHAU17M","A","PDL0049003 - CLUB 3 - ","PDL0049023 - CLUB 23 - 5","ID 14","NOM 14","Prénom 14","LIC 14",2,"Arbitre","","","NON","U17","P"
"1-4CHAU17M","A","PDL0049003 - CLUB 3 - ","PDL0049023 - CLUB 23 - 5","ID 15","NOM 15","Prénom 15","LIC 15",1,"Délégué de club","","","NON","U17","P"
"1-4CHAU17M","A","PDL0049003 - CLUB 3 - ","PDL0049023 - CLUB 23 - 5","ID 16","NOM 16","Prénom 16","LIC 16",1,"Arbitre","","","NON","U17","P"
"1-4CHAU17M","A","PDL0049003 - CLUB 3 - ","PDL0049023 - CLUB 23 - 5","ID 17","NOM 17","Prénom 17","LIC 17",1,"Marqueur","","","NON","U17","P"
"DMU20-P2","D1A","PDL0049004 - CLUB 4 - ","PDL0049023 - CLUB 23 - ","ID 18","NOM 18","Prénom 18","LIC 18",1,"Arbitre","","","NON","U20","P"
"DMU17-4","D4A","PDL0049004 - CLUB 4 - ","PDL0049076 - CLUB 76 - 2","ID 19","NOM 19","Prénom 19","LIC 19",1,"Chronometreur","","","NON","U17","P"
"DMU17-4","D4A","PDL0049004 - CLUB 4 - ","PDL0049076 - CLUB 76 - 2","ID 18","NOM 18","Prénom 18","LIC 18",1,"Marqueur","","","NON","U17","P"
"DMU15-4","D4A","PDL0049004 - CLUB 4 - 2","PDL0049006 - CLUB 6 - ","ID 20","NOM 19","Prénom 20","LIC 20",2,"Arbitre","","","NON","U15","P"
"DMU15-4","D4A","PDL0049004 - CLUB 4 - 2","PDL0049006 - CLUB 6 - ","ID 19","NOM 19","Prénom 19","LIC 19",1,"Marqueur","","","NON","U15","P"
"DMU15-4","D4A","PDL0049004 - CLUB 4 - 2","PDL0049006 - CLUB 6 - ","ID 21","NOM 20","Prénom 21","LIC 21",1,"Arbitre","","","NON","U15","P"
"DMU15-4","D4A","PDL0049004 - CLUB 4 - 2","PDL0049006 - CLUB 6 - ","ID 22","NOM 21","Prénom 22","LIC 22",1,"Chronometreur","","","NON","U15","P"
"FCHAU15M","A","PDL0049005 - CLUB 5 - ","PDL0049047 - CLUB 47 - ","ID 23","NOM 22","Prénom 23","LIC 23",1,"Aide marqueur","","","NON","U15","P"
"FCHAU15M","A","PDL0049005 - CLUB 5 - ","PDL0049047 - CLUB 47 - ","ID 24","NOM 23","Prénom 24","LIC 24",1,"Marqueur","","","NON","U15","P"
"FCHAU15M","A","PDL0049005 - CLUB 5 - ","PDL0049047 - CLUB 47 - ","ID 25","NOM 24","Prénom 25","LIC 25",2,"Arbitre","(110,00Km)","107.6","NON","U15","P"
"FCHAU15M","A","PDL0049005 - CLUB 5 - ","PDL0049047 - CLUB 47 - ","ID 26","NOM 25","Prénom 26","LIC 26",1,"Délégué de club","","","NON","U15","P"
"FCHAU15M","A","PDL0049005 - CLUB 5 - ","PDL0049047 - CLUB 47 - ","ID 27","NOM 26","Prénom 27","LIC 27",1,"Arbitre","(60,00Km)","69.6","NON","U15","P"
"FCHAU15M","A","PDL0049005 - CLUB 5 - ","PDL0049047 - CLUB 47 - ","ID 28","NOM 27","Prénom 28","LIC 28",1,"Chronometreur","","","NON","U15","P"
"32CAM","A","PDL0049005 - CLUB 5 - 1","PDL0049039 - CLUB 39 - 2","ID 29","NOM 28","Prénom 11","LIC 29",2,"Arbitre","(22,00Km)","45.84","NON","Seniors","P"
"32CAM","A","PDL0049005 - CLUB 5 - 1","PDL0049039 - CLUB 39 - 2","ID 30","NOM 29","Prénom 29","LIC 30",1,"Arbitre","(30,00Km)","51.6","NON","Seniors","P"
"DFU11-2","D2A","PDL0049006 - CLUB 6 - ","PDL0049029 - CLUB 29 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U11",""
"DMU13-2-P2","D2A","PDL0049006 - CLUB 6 - ","PDL0049036 - CLUB 36 - ","ID ","NOM 9","Prénom 9","LIC 9",NA,"","","","NON","U13",""
"1/16COUPU18F","A","PDL0049006 - CLUB 6 - ","PDL0049039 - CLUB 39 - 3","ID 31","NOM 30","Prénom 30","LIC 31",1,"Arbitre","","","NON","U18","P"
"1/16COUPU18F","A","PDL0049006 - CLUB 6 - ","PDL0049039 - CLUB 39 - 3","ID 32","NOM 31","Prénom 31","LIC 32",2,"Arbitre","","","NON","U18","P"
